feedback_id,order_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
5588336.0,4754258275.0,10019218,3.0,very disappointed with the quality.,delivery,negative,2023-09-16,elijah brar,ikbalshukla@example.net,914359135388,"35
chhabra nagar, singrauli 962731",parbhani,700999,2023-08-28,new,7,560.14
9462518.0,169590729.0,10019218,4.0,"overall good experience, thank you!",product quality,positive,2024-05-23,elijah brar,ikbalshukla@example.net,914359135388,"35
chhabra nagar, singrauli 962731",parbhani,700999,2023-08-28,new,7,560.14
4163524.0,4034750827.0,10019218,5.0,"excellent quality, will buy again!",delivery,positive,2023-06-24,elijah brar,ikbalshukla@example.net,914359135388,"35
chhabra nagar, singrauli 962731",parbhani,700999,2023-08-28,new,7,560.14
4926150.0,5562576298.0,10019218,4.0,highly recommended!,app experience,positive,2023-11-08,elijah brar,ikbalshukla@example.net,914359135388,"35
chhabra nagar, singrauli 962731",parbhani,700999,2023-08-28,new,7,560.14
5082750.0,4832392771.0,10038382,3.0,customer service was not helpful.,product quality,negative,2023-11-02,rajata balay,sanaya20@example.net,913662858508,"43
sood circle
anand 032303",bahraich,605355,2023-08-15,inactive,3,339.73
7977590.0,5844776722.0,10038382,2.0,the packaging was poor.,product quality,negative,2024-01-10,rajata balay,sanaya20@example.net,913662858508,"43
sood circle
anand 032303",bahraich,605355,2023-08-15,inactive,3,339.73
6817054.0,3922539531.0,10048910,4.0,"delivery was fine, but the product could be better.",delivery,neutral,2024-09-24,pratyush sawhney,bhavyabuch@example.com,918577787386,"24
raja circle, sonipat-603340",kozhikode,826123,2023-09-25,new,15,875.32
1356014.0,1804073530.0,10048910,4.0,highly recommended!,product quality,positive,2024-06-19,pratyush sawhney,bhavyabuch@example.com,918577787386,"24
raja circle, sonipat-603340",kozhikode,826123,2023-09-25,new,15,875.32
4200126.0,3276478503.0,10048910,4.0,"average experience, could improve.",app experience,neutral,2024-04-03,pratyush sawhney,bhavyabuch@example.com,918577787386,"24
raja circle, sonipat-603340",kozhikode,826123,2023-09-25,new,15,875.32
6382544.0,7241413847.0,10048910,5.0,very happy with the service!,product quality,positive,2023-04-15,pratyush sawhney,bhavyabuch@example.com,918577787386,"24
raja circle, sonipat-603340",kozhikode,826123,2023-09-25,new,15,875.32
2383391.0,7177553918.0,10048910,4.0,"average experience, could improve.",delivery,neutral,2023-03-31,pratyush sawhney,bhavyabuch@example.com,918577787386,"24
raja circle, sonipat-603340",kozhikode,826123,2023-09-25,new,15,875.32
8541922.0,6101022928.0,10088428,4.0,"excellent quality, will buy again!",delivery,positive,2024-10-02,tara raghavan,vwalia@example.net,914501012348,"968, dani ganj, bhiwandi-868663",khammam,155215,2024-01-16,premium,15,806.54
2704664.0,5418735913.0,10210309,1.0,i had a bad experience.,customer service,negative,2024-07-11,deepa dewan,sagarjagdish@example.com,918039932264,"16/10, seshadri, tenali-896132",kharagpur,318476,2024-05-08,inactive,13,515.07
8804364.0,3286177534.0,10225164,3.0,the product met my expectations.,delivery,neutral,2023-06-25,siya parmer,watika42@example.net,915830822437,"51/60
chawla
darbhanga-169445",dehri,625283,2024-09-25,inactive,20,491.07
1228177.0,3727289407.0,10225164,3.0,"average experience, could improve.",customer service,neutral,2024-06-17,siya parmer,watika42@example.net,915830822437,"51/60
chawla
darbhanga-169445",dehri,625283,2024-09-25,inactive,20,491.07
7485105.0,701250513.0,10240052,2.0,customer service was not helpful.,app experience,negative,2024-09-03,gagan kakar,dipta34@example.org,918187203939,"33, subramanian circle
katihar 845560",guntakal,388744,2024-03-25,regular,1,942.49
3096885.0,614274161.0,10240052,5.0,"overall good experience, thank you!",delivery,positive,2023-09-27,gagan kakar,dipta34@example.org,918187203939,"33, subramanian circle
katihar 845560",guntakal,388744,2024-03-25,regular,1,942.49
0.0,0.0,10285414,0.0,0,0,0,,meera nigam,priyalanka@example.org,910495654938,"76, jaggi
kirari suleman nagar-469099",shimla,186927,2023-07-13,inactive,18,993.5
2696658.0,2570640420.0,10418604,2.0,items were missing from my order.,product quality,negative,2023-04-28,xavier agrawal,lopaagrawal@example.org,919789289354,"10, sangha street, bharatpur-212237",gandhidham,850794,2024-04-11,new,15,501.27
8208481.0,3583323379.0,10418604,1.0,taste was not as expected.,customer service,negative,2024-04-03,xavier agrawal,lopaagrawal@example.org,919789289354,"10, sangha street, bharatpur-212237",gandhidham,850794,2024-04-11,new,15,501.27
5063458.0,846586265.0,10418604,4.0,the product met my expectations.,app experience,neutral,2023-07-02,xavier agrawal,lopaagrawal@example.org,919789289354,"10, sangha street, bharatpur-212237",gandhidham,850794,2024-04-11,new,15,501.27
9923099.0,4093115982.0,10508763,3.0,customer service was not helpful.,delivery,negative,2023-05-24,anamika issac,lbahri@example.org,912691240598,"h.no. 79
mann marg, nadiad-252402",ratlam,489551,2023-12-14,premium,6,992.26
1175026.0,7102272749.0,10508763,1.0,items were missing from my order.,product quality,negative,2024-04-09,anamika issac,lbahri@example.org,912691240598,"h.no. 79
mann marg, nadiad-252402",ratlam,489551,2023-12-14,premium,6,992.26
5356601.0,7111337755.0,10524732,4.0,"average experience, could improve.",customer service,neutral,2023-05-06,bhavna ramesh,esingh@example.org,915866776432,"39/475
sathe road
bhopal-622648",rajahmundry,134704,2023-11-16,regular,18,1830.92
8149792.0,5130838561.0,10524732,4.0,"average experience, could improve.",delivery,neutral,2023-07-26,bhavna ramesh,esingh@example.org,915866776432,"39/475
sathe road
bhopal-622648",rajahmundry,134704,2023-11-16,regular,18,1830.92
2953364.0,8533110341.0,10524732,3.0,the product met my expectations.,delivery,neutral,2023-06-14,bhavna ramesh,esingh@example.org,915866776432,"39/475
sathe road
bhopal-622648",rajahmundry,134704,2023-11-16,regular,18,1830.92
7258622.0,5243035202.0,10541231,2.0,items were missing from my order.,product quality,negative,2024-10-20,dayita yadav,dalajasekhon@example.net,917085625074,"h.no. 64
arora nagar, dhanbad-111725",bhiwandi,94381,2024-07-17,premium,14,409.51
6265719.0,8546631319.0,10541231,4.0,"nothing to complain about, but nothing exceptional.",customer service,neutral,2023-10-30,dayita yadav,dalajasekhon@example.net,917085625074,"h.no. 64
arora nagar, dhanbad-111725",bhiwandi,94381,2024-07-17,premium,14,409.51
4858394.0,6556180328.0,10562528,2.0,product was damaged during delivery.,delivery,negative,2024-06-03,udant dada,odika72@example.com,916268234175,"h.no. 19, taneja ganj, malda-646819",udaipur,579690,2024-07-11,premium,12,887.02
6378864.0,7733310993.0,10562528,3.0,not worth the price i paid.,app experience,negative,2023-03-31,udant dada,odika72@example.com,916268234175,"h.no. 19, taneja ganj, malda-646819",udaipur,579690,2024-07-11,premium,12,887.02
7151992.0,5271866987.0,10562528,3.0,"nothing to complain about, but nothing exceptional.",product quality,neutral,2024-08-27,udant dada,odika72@example.com,916268234175,"h.no. 19, taneja ganj, malda-646819",udaipur,579690,2024-07-11,premium,12,887.02
3294952.0,8674211510.0,10562528,3.0,the product met my expectations.,customer service,neutral,2023-09-01,udant dada,odika72@example.com,916268234175,"h.no. 19, taneja ganj, malda-646819",udaipur,579690,2024-07-11,premium,12,887.02
172813.0,9467422683.0,10562528,2.0,i had a bad experience.,product quality,negative,2023-09-21,udant dada,odika72@example.com,916268234175,"h.no. 19, taneja ganj, malda-646819",udaipur,579690,2024-07-11,premium,12,887.02
7747355.0,7388091459.0,10562528,4.0,will definitely order again.,product quality,positive,2024-10-16,udant dada,odika72@example.com,916268234175,"h.no. 19, taneja ganj, malda-646819",udaipur,579690,2024-07-11,premium,12,887.02
3382712.0,7891205593.0,10562528,3.0,i had a bad experience.,customer service,negative,2024-07-14,udant dada,odika72@example.com,916268234175,"h.no. 19, taneja ganj, malda-646819",udaipur,579690,2024-07-11,premium,12,887.02
802000.0,6814009039.0,10605484,3.0,"average experience, could improve.",delivery,neutral,2023-11-03,rachit chakraborty,karabhiram@example.com,917890394043,"h.no. 714
das circle, nanded-127585",visakhapatnam,411956,2024-05-17,inactive,13,652.0
4582675.0,742238239.0,10605484,1.0,items were missing from my order.,app experience,negative,2023-12-21,rachit chakraborty,karabhiram@example.com,917890394043,"h.no. 714
das circle, nanded-127585",visakhapatnam,411956,2024-05-17,inactive,13,652.0
0.0,0.0,1060685,0.0,0,0,0,,yadavi rajagopalan,dipta24@example.net,912609155283,"48
choudhary ganj, gorakhpur 965066",mango,449803,2024-03-07,inactive,4,999.24
3518154.0,7712604853.0,10608845,4.0,"nothing to complain about, but nothing exceptional.",customer service,neutral,2023-09-26,aadi gole,vbalan@example.com,918797630971,"69/876, varughese path
tadipatri 100656",bhilwara,702163,2024-03-29,premium,2,735.36
0.0,0.0,10642655,0.0,0,0,0,,omaja warrior,ujaggi@example.net,913369567498,"55/090, deshmukh path
siliguri 815361",gorakhpur,115141,2023-11-26,premium,1,726.89
4090243.0,652616858.0,10663246,3.0,the order was incorrect.,app experience,negative,2023-05-22,madhav chana,abhiram84@example.org,915954812756,"31/173, kalita nagar, nashik-267071",gandhidham,538790,2023-10-29,regular,12,1976.29
3845304.0,8370410622.0,10663246,1.0,items were missing from my order.,product quality,negative,2024-06-01,madhav chana,abhiram84@example.org,915954812756,"31/173, kalita nagar, nashik-267071",gandhidham,538790,2023-10-29,regular,12,1976.29
408309.0,1023260165.0,10683250,3.0,the product met my expectations.,delivery,neutral,2024-02-16,manthan sundaram,ekavir81@example.org,915063231276,"h.no. 464
singhal marg
patna-308566",bhagalpur,545885,2024-07-19,regular,14,480.47
8075814.0,4193492511.0,10683250,5.0,"overall good experience, thank you!",delivery,positive,2023-10-02,manthan sundaram,ekavir81@example.org,915063231276,"h.no. 464
singhal marg
patna-308566",bhagalpur,545885,2024-07-19,regular,14,480.47
5244358.0,875427533.0,10686446,2.0,i had a bad experience.,product quality,negative,2024-03-27,onkar ratti,tshanker@example.net,914588259906,"21/061, muni marg
coimbatore 615093",tadipatri,182979,2023-07-05,new,18,1566.26
9354829.0,9895756835.0,10694081,4.0,"overall good experience, thank you!",product quality,positive,2024-10-09,faris raval,neel30@example.net,912433385418,"h.no. 668, rama chowk
tiruchirappalli-877111",meerut,568324,2023-10-02,regular,16,769.13
1551406.0,7562754470.0,10700664,3.0,i had a bad experience.,customer service,negative,2024-02-15,rehaan tara,ishere@example.org,917307216422,"09/35, kar
jabalpur 573121",raebareli,287997,2024-10-10,regular,5,1535.01
3558916.0,6894204435.0,10700664,4.0,"average experience, could improve.",customer service,neutral,2023-06-17,rehaan tara,ishere@example.org,917307216422,"09/35, kar
jabalpur 573121",raebareli,287997,2024-10-10,regular,5,1535.01
77045.0,7755662096.0,10700664,5.0,very fresh and well-packaged.,product quality,positive,2024-01-30,rehaan tara,ishere@example.org,917307216422,"09/35, kar
jabalpur 573121",raebareli,287997,2024-10-10,regular,5,1535.01
0.0,0.0,10706516,0.0,0,0,0,,charita srivastava,dakshesh23@example.org,917851282763,"57/12, narula road
karaikudi 600784",miryalaguda,85972,2024-08-18,regular,13,1420.97
6505330.0,8724590445.0,10729474,5.0,great prices and fast delivery!,delivery,positive,2023-06-02,gautami pingle,oliverraman@example.org,914775722633,"40/162
lall chowk, rourkela 080616",howrah,14994,2023-10-19,new,16,417.3
6100124.0,7944056454.0,10729474,4.0,"delivery was fine, but the product could be better.",product quality,neutral,2023-05-22,gautami pingle,oliverraman@example.org,914775722633,"40/162
lall chowk, rourkela 080616",howrah,14994,2023-10-19,new,16,417.3
5268466.0,6494615659.0,10745302,4.0,"it was okay, nothing special.",product quality,neutral,2023-11-19,yochana shukla,jaigrover@example.net,916832908358,"16/77, kuruvilla road
jamalpur-474745",indore,49444,2023-10-26,premium,5,1530.95
1822011.0,2625987757.0,10769994,3.0,"it was okay, nothing special.",delivery,neutral,2023-08-01,tripti tandon,aradhana79@example.org,917981586241,"352
agrawal road, siwan 961199",begusarai,766033,2023-05-07,regular,10,1122.23
4956264.0,336832815.0,10769994,5.0,items were in perfect condition.,customer service,positive,2023-12-09,tripti tandon,aradhana79@example.org,917981586241,"352
agrawal road, siwan 961199",begusarai,766033,2023-05-07,regular,10,1122.23
5100133.0,7189146676.0,10789681,3.0,the product met my expectations.,delivery,neutral,2024-05-20,anvi rajan,aarna25@example.net,919496490604,"h.no. 010, sandhu street, salem 189439",dehradun,22922,2023-06-28,regular,17,1178.41
4816322.0,135053432.0,10796846,4.0,items were in perfect condition.,customer service,positive,2023-04-24,waida sanghvi,qbera@example.com,912912553543,"h.no. 080
vala path, nizamabad 974676",tiruvottiyur,379070,2024-06-10,regular,2,1548.31
231413.0,776389097.0,10797688,3.0,"delivery was fine, but the product could be better.",app experience,neutral,2024-02-10,sudiksha mannan,janigauri@example.net,911173858493,"782, golla ganj
kottayam-979207",bathinda,220981,2023-05-22,new,7,1017.39
502705.0,5682816404.0,10830043,4.0,very fresh and well-packaged.,app experience,positive,2023-07-10,gabriel iyer,bbala@example.com,917749185958,"h.no. 369, buch circle, jammu-963201",hospet,548469,2023-10-15,new,9,899.6
8391214.0,1174856327.0,10855630,1.0,not worth the price i paid.,delivery,negative,2024-06-16,anya rajagopal,sbajwa@example.org,916836842543,"39
lata chowk
nellore 099220",rajahmundry,39724,2024-06-03,premium,15,1447.55
7407121.0,8370213291.0,10855630,4.0,"it was okay, nothing special.",delivery,neutral,2023-05-20,anya rajagopal,sbajwa@example.org,916836842543,"39
lata chowk
nellore 099220",rajahmundry,39724,2024-06-03,premium,15,1447.55
5123205.0,7107216633.0,10857389,4.0,"it was okay, nothing special.",product quality,neutral,2024-06-27,nihal mital,ipal@example.org,913361128329,"90/44
kamdar chowk
kolkata-447646",hindupur,893621,2024-07-29,inactive,9,553.29
8452294.0,6311012195.0,10857389,4.0,"average experience, could improve.",delivery,neutral,2023-07-27,nihal mital,ipal@example.org,913361128329,"90/44
kamdar chowk
kolkata-447646",hindupur,893621,2024-07-29,inactive,9,553.29
8823012.0,7378521428.0,10857389,2.0,taste was not as expected.,app experience,negative,2024-04-24,nihal mital,ipal@example.org,913361128329,"90/44
kamdar chowk
kolkata-447646",hindupur,893621,2024-07-29,inactive,9,553.29
5890747.0,4032847942.0,10857389,4.0,will definitely order again.,product quality,positive,2024-09-28,nihal mital,ipal@example.org,913361128329,"90/44
kamdar chowk
kolkata-447646",hindupur,893621,2024-07-29,inactive,9,553.29
7118563.0,1069724600.0,10945990,5.0,highly recommended!,customer service,positive,2023-07-26,frado keer,chandrananita@example.net,918469252255,"h.no. 91
chahal street
dibrugarh-080347",burhanpur,193503,2024-03-25,new,5,1337.11
6675115.0,4416398885.0,10945990,5.0,"overall good experience, thank you!",customer service,positive,2024-10-22,frado keer,chandrananita@example.net,918469252255,"h.no. 91
chahal street
dibrugarh-080347",burhanpur,193503,2024-03-25,new,5,1337.11
7092340.0,5108704843.0,10951674,2.0,the order was incorrect.,delivery,negative,2024-04-04,anmol lad,charlesmander@example.com,912894314853,"h.no. 66
rout path
kulti 733466",guna,284622,2023-04-23,inactive,4,1590.36
600446.0,9090089969.0,10951674,3.0,delivery was late and i was unhappy.,customer service,negative,2023-08-02,anmol lad,charlesmander@example.com,912894314853,"h.no. 66
rout path
kulti 733466",guna,284622,2023-04-23,inactive,4,1590.36
6344475.0,2288561509.0,11047835,4.0,"average experience, could improve.",app experience,neutral,2023-12-04,nathaniel reddy,rsengupta@example.net,910814269381,"h.no. 31
dugar nagar, nashik-602362",tinsukia,553038,2024-01-31,regular,6,573.38
3661083.0,8986314607.0,11047835,4.0,very happy with the service!,customer service,positive,2024-08-30,nathaniel reddy,rsengupta@example.net,910814269381,"h.no. 31
dugar nagar, nashik-602362",tinsukia,553038,2024-01-31,regular,6,573.38
5585970.0,7367717333.0,11047835,4.0,highly recommended!,customer service,positive,2023-07-30,nathaniel reddy,rsengupta@example.net,910814269381,"h.no. 31
dugar nagar, nashik-602362",tinsukia,553038,2024-01-31,regular,6,573.38
23845.0,5465833352.0,11047835,4.0,will definitely order again.,product quality,positive,2023-03-28,nathaniel reddy,rsengupta@example.net,910814269381,"h.no. 31
dugar nagar, nashik-602362",tinsukia,553038,2024-01-31,regular,6,573.38
1917447.0,1602396548.0,11063505,3.0,not worth the price i paid.,delivery,negative,2024-09-10,garima pillay,dakshesh96@example.org,915618959508,"h.no. 89
nori ganj, bhiwani-227906",udaipur,434196,2024-11-01,new,2,1285.79
9482081.0,7009619835.0,11063505,4.0,"nothing to complain about, but nothing exceptional.",customer service,neutral,2024-10-28,garima pillay,dakshesh96@example.org,915618959508,"h.no. 89
nori ganj, bhiwani-227906",udaipur,434196,2024-11-01,new,2,1285.79
502262.0,2808133351.0,11071601,4.0,"average experience, could improve.",product quality,neutral,2023-12-03,ojas ahuja,sneha11@example.com,912865080618,"h.no. 99
kade road
ramgarh 695009",buxar,528426,2023-07-04,inactive,17,1950.54
4523320.0,168067196.0,11071601,3.0,"average experience, could improve.",app experience,neutral,2024-07-16,ojas ahuja,sneha11@example.com,912865080618,"h.no. 99
kade road
ramgarh 695009",buxar,528426,2023-07-04,inactive,17,1950.54
5454727.0,5008395294.0,1108176,3.0,delivery was late and i was unhappy.,customer service,negative,2023-12-22,charita chad,ekantika51@example.com,919496285339,"99/756, gour marg
suryapet-685926",bhalswa jahangir pur,902052,2023-07-27,premium,20,1460.76
9514499.0,5769065545.0,1108176,5.0,will definitely order again.,app experience,positive,2024-01-28,charita chad,ekantika51@example.com,919496285339,"99/756, gour marg
suryapet-685926",bhalswa jahangir pur,902052,2023-07-27,premium,20,1460.76
7065793.0,4959271803.0,11082181,5.0,very happy with the service!,app experience,positive,2024-02-22,pratyush munshi,evig@example.com,916368497999,"h.no. 07
apte chowk
ulhasnagar-524587",kalyan-dombivli,816410,2024-02-15,premium,6,624.4
893979.0,8963522960.0,11143197,4.0,"nothing to complain about, but nothing exceptional.",product quality,neutral,2023-11-02,siya mani,malloliver@example.net,917820827129,"50, yadav street, jhansi-806525",bulandshahr,514698,2023-03-29,regular,13,778.44
370245.0,6083487488.0,11143197,5.0,"excellent quality, will buy again!",delivery,positive,2024-03-11,siya mani,malloliver@example.net,917820827129,"50, yadav street, jhansi-806525",bulandshahr,514698,2023-03-29,regular,13,778.44
6289100.0,701856661.0,11143197,4.0,great prices and fast delivery!,product quality,positive,2024-06-10,siya mani,malloliver@example.net,917820827129,"50, yadav street, jhansi-806525",bulandshahr,514698,2023-03-29,regular,13,778.44
9905886.0,7921886899.0,11143197,3.0,the packaging was poor.,customer service,negative,2023-07-01,siya mani,malloliver@example.net,917820827129,"50, yadav street, jhansi-806525",bulandshahr,514698,2023-03-29,regular,13,778.44
0.0,0.0,11153360,0.0,0,0,0,,libni sastry,warjaschoudhury@example.com,915612430324,"66/78
baral zila
sonipat-698595",amaravati,724136,2024-04-01,inactive,20,1575.46
4857169.0,6277344634.0,11202130,2.0,customer service was not helpful.,customer service,negative,2024-07-23,zehaan lad,vnarayan@example.org,914186545390,"16/77
basak marg, lucknow 740421",bhilwara,854285,2023-11-28,premium,20,1202.1
3066125.0,2937676500.0,11202130,3.0,the packaging was poor.,delivery,negative,2024-05-25,zehaan lad,vnarayan@example.org,914186545390,"16/77
basak marg, lucknow 740421",bhilwara,854285,2023-11-28,premium,20,1202.1
3901454.0,2084323012.0,11202130,3.0,"it was okay, nothing special.",customer service,neutral,2024-06-03,zehaan lad,vnarayan@example.org,914186545390,"16/77
basak marg, lucknow 740421",bhilwara,854285,2023-11-28,premium,20,1202.1
9869403.0,2247940574.0,11202130,3.0,"average experience, could improve.",delivery,neutral,2024-04-09,zehaan lad,vnarayan@example.org,914186545390,"16/77
basak marg, lucknow 740421",bhilwara,854285,2023-11-28,premium,20,1202.1
1253291.0,8803091944.0,11228463,4.0,the product met my expectations.,app experience,neutral,2024-05-18,theodore cherian,oliver85@example.com,918075077633,"h.no. 173, pant street, jaipur 419135",kanpur,834868,2023-07-30,inactive,8,1275.97
7776543.0,8047899303.0,11254582,2.0,not worth the price i paid.,product quality,negative,2023-09-28,caleb krish,rachitsaran@example.net,910583515404,"h.no. 99
padmanabhan marg
panipat-465142",machilipatnam,331326,2023-08-13,inactive,19,1036.03
7581449.0,655792395.0,11254582,4.0,good selection of products.,customer service,positive,2024-04-19,caleb krish,rachitsaran@example.net,910583515404,"h.no. 99
padmanabhan marg
panipat-465142",machilipatnam,331326,2023-08-13,inactive,19,1036.03
3930672.0,1900542981.0,11254582,1.0,very disappointed with the quality.,customer service,negative,2023-03-25,caleb krish,rachitsaran@example.net,910583515404,"h.no. 99
padmanabhan marg
panipat-465142",machilipatnam,331326,2023-08-13,inactive,19,1036.03
0.0,0.0,1134585,0.0,0,0,0,,bhavani rau,uppalvrishti@example.com,913705629591,"61, mitra zila, bhatpara-234618",ghaziabad,553914,2024-02-06,regular,8,1975.21
7470294.0,8829163586.0,11387110,1.0,taste was not as expected.,product quality,negative,2024-01-16,om sastry,aishani38@example.com,915717298058,"h.no. 413, char nagar, mehsana-538034",coimbatore,14359,2023-08-17,premium,8,1303.37
1093536.0,6971088688.0,11389698,4.0,the product met my expectations.,customer service,neutral,2023-07-18,chameli grover,wmohan@example.org,912844711197,"190
palla zila, orai 695509",jammu,153911,2023-06-08,premium,14,1907.68
7612535.0,785895477.0,11389698,4.0,"average experience, could improve.",product quality,neutral,2023-03-19,chameli grover,wmohan@example.org,912844711197,"190
palla zila, orai 695509",jammu,153911,2023-06-08,premium,14,1907.68
3561233.0,1492403962.0,11389698,4.0,highly recommended!,delivery,positive,2023-07-09,chameli grover,wmohan@example.org,912844711197,"190
palla zila, orai 695509",jammu,153911,2023-06-08,premium,14,1907.68
6353752.0,1506082041.0,11446157,1.0,taste was not as expected.,app experience,negative,2023-05-04,nidhi borra,upadhriti34@example.org,911548720905,"99/071, dua street, sultan pur majra-817622",shimoga,681393,2024-09-18,inactive,8,400.97
193776.0,2611271708.0,11446157,3.0,items were missing from my order.,delivery,negative,2024-04-26,nidhi borra,upadhriti34@example.org,911548720905,"99/071, dua street, sultan pur majra-817622",shimoga,681393,2024-09-18,inactive,8,400.97
4789313.0,4616699342.0,11446157,4.0,"nothing to complain about, but nothing exceptional.",app experience,neutral,2023-04-16,nidhi borra,upadhriti34@example.org,911548720905,"99/071, dua street, sultan pur majra-817622",shimoga,681393,2024-09-18,inactive,8,400.97
4416255.0,5480656353.0,11446157,3.0,"average experience, could improve.",customer service,neutral,2024-03-05,nidhi borra,upadhriti34@example.org,911548720905,"99/071, dua street, sultan pur majra-817622",shimoga,681393,2024-09-18,inactive,8,400.97
453891.0,8056162498.0,11446157,3.0,"nothing to complain about, but nothing exceptional.",app experience,neutral,2023-05-08,nidhi borra,upadhriti34@example.org,911548720905,"99/071, dua street, sultan pur majra-817622",shimoga,681393,2024-09-18,inactive,8,400.97
2957419.0,9628875555.0,11470681,3.0,"it was okay, nothing special.",app experience,neutral,2024-03-09,yashawini sunder,kdash@example.com,916224678339,"633
dhar zila
bahraich 587394",munger,928068,2023-08-23,new,2,570.88
682817.0,4485391413.0,11478478,4.0,"average experience, could improve.",product quality,neutral,2023-12-21,vedika dugal,sroy@example.org,912256745079,"h.no. 44, tata nagar, guwahati 451820",ahmednagar,955878,2023-10-31,inactive,17,762.82
2821305.0,4224700084.0,11478478,4.0,"nothing to complain about, but nothing exceptional.",delivery,neutral,2024-08-28,vedika dugal,sroy@example.org,912256745079,"h.no. 44, tata nagar, guwahati 451820",ahmednagar,955878,2023-10-31,inactive,17,762.82
4668145.0,5604135912.0,11478478,2.0,product was damaged during delivery.,customer service,negative,2024-08-19,vedika dugal,sroy@example.org,912256745079,"h.no. 44, tata nagar, guwahati 451820",ahmednagar,955878,2023-10-31,inactive,17,762.82
7673567.0,3547873471.0,11478478,3.0,product was damaged during delivery.,product quality,negative,2024-10-08,vedika dugal,sroy@example.org,912256745079,"h.no. 44, tata nagar, guwahati 451820",ahmednagar,955878,2023-10-31,inactive,17,762.82
9237596.0,1270524770.0,11478478,4.0,highly recommended!,delivery,positive,2023-10-11,vedika dugal,sroy@example.org,912256745079,"h.no. 44, tata nagar, guwahati 451820",ahmednagar,955878,2023-10-31,inactive,17,762.82
9098265.0,2978719561.0,11478478,2.0,customer service was not helpful.,app experience,negative,2023-11-09,vedika dugal,sroy@example.org,912256745079,"h.no. 44, tata nagar, guwahati 451820",ahmednagar,955878,2023-10-31,inactive,17,762.82
8837678.0,2416717644.0,11493300,5.0,good selection of products.,product quality,positive,2023-09-12,yatan bedi,pranitratta@example.org,915995815758,"h.no. 22
pandit street
coimbatore 123398",durg,144438,2024-07-26,regular,18,1025.67
